상품명,주종,세부 주종,절대 도수,상대 도수,단맛,바디감,신맛,청량감,향의 강도
참이슬/처음처럼/진로,소주,,16.5,4,2,3,,,2
한라산,소주,,21,5,1,3,,,2
오리지널,소주,,20,5,4,2,,,1
새로,소주,,16,4,4,2,,,1
과일소주,소주,,13,3,4,3,,,1
매실원주 15도 375ml,증류주,,15,3,3,3,,,2
문배술 헤리티지 40도 200ml,증류주,,40,5,2,3,,,2
바다한잔 동해소주,증류주,,17.5,3,2,4,,,3
서울의 밤,증류주,,25,4,2,2,,,4
명인 안동소주 22도,증류주,,22,4,2,2,,,1
원소주,증류주,,22,4,3,2,,,2
이강주 25도 375ml,증류주,,25,4,2,3,,,3
추사 40도,증류주,,40,5,3,3,,,5
화요 25도,증류주,,25,4,4,3,,,3
황금보리소주 17도,증류주,,17,3,2,2,,,2
페일 라거,맥주,라거,5,5,3,3,2,3,
흑맥주 (둔켈),맥주,라거,3.8,1,4,4,2,3,
앰버 라거,맥주,라거,5,5,3,3,2,4,
아메리칸 라거,맥주,라거,4,4,3,3,2,3,
과일 맥주,맥주,라거,3,3,4,3,3,4,
무알콜 맥주,맥주,라거,0,0,3,2,2,3,
잉글리시 페일 에일,맥주,에일,4.8,3,3,3,3,4,
인디아 페일 에일 (IPA),맥주,에일,5.9,5,4,3,4,3,
골든 에일,맥주,에일,4.4,2,3,3,2,3,
흑맥주 (스타우트),맥주,에일,4.2,2,3,4,2,3,
밀맥주 (위트비어),맥주,에일,4.9,3,4,3,3,4,
밀맥주 (바이젠),맥주,에일,5.3,4,3,2,3,3,
카베르네 소비뇽,와인,레드 (스틸),14,4,2,5,3,4,
멀롯 (메를로),와인,레드 (스틸),14,4,1,4,3,4,
말벡,와인,레드 (스틸),14,4,2,5,2,3,
피노 누아,와인,레드 (스틸),12,3,2,3,4,4,
쉬라즈,와인,레드 (스틸),14,4,2,5,3,4,
진판델,와인,레드 (스틸),16,5,2,4,2,4,
카르메네르,와인,레드 (스틸),12,3,2,3,3,4,
템프라니요,와인,레드 (스틸),14,4,2,4,4,4,
샤르도네 (샤도네이),와인,화이트 (스틸),14,4,2,3,3,4,
소비뇽 블랑,와인,화이트 (스틸),12,3,2,2,5,4,
리슬링,와인,화이트 (스틸),8,1,3,1,5,5,
피노 그리,와인,화이트 (스틸),12,3,2,2,4,4,
샴페인 / 크레망,와인,화이트 (스파클링),10,2,2,1,5,5,
프로세코,와인,화이트 (스파클링),12,3,3,1,4,5,
모스카토 다스티,와인,화이트 (스파클링),8,1,3,1,4,5,
카바,와인,화이트 (스파클링),10,2,2,1,5,5,
금정산성 막걸리,탁주,,8,1,1,3,3,2,
나루 생막걸리 6도 935ml,탁주,,6,1,3,2,3,2,
느린마을 막걸리,탁주,,6,1,3,4,2,2,
담은 생막걸리,탁주,,6.5,1,4,2,2,1,
담향 대대포 블루,탁주,,6,1,3,2,2,2,
복순도가 손 막걸리,탁주,,6.5,1,2,2,3,5,
우도 땅콩 전통주,탁주,,6,1,4,3,1,3,
표문막걸리(곰표막걸리),탁주,,6,1,3,3,2,2,
해창 생 막걸리 9도,탁주,,9,1,1,4,1,2,
호랑이 생 막걸리,탁주,,6,1,4,4,1,2,
감자술,약주,,13,2,3,2,2,3,
니모메,약주,,11,1,3,3,3,1,
동학 1957 375ml,약주,,13,2,3,3,3,2,
면천두견주 360ml,약주,,18,3,4,4,1,1,
솔송주 (골드),약주,,13,2,2,3,1,1,
오메기 맑은술,약주,,16,3,4,3,3,2,
우렁이쌀 청주,약주,,14,2,2,3,1,1,
원조 한산소곡주,약주,,16,3,3,2,1,4,
청명주 500ml,약주,,17,3,4,4,4,2,
황진이,약주,,12,2,3,3,2,2,
고도리 복숭아와인,과실주,,6.5,1,3,3,4,3,
고도리 샤인머스캣,과실주,,10.5,2,4,3,3,2,
맑은내일 Winery 단감명작 750ml,과실주,,7,1,3,2,2,3,
머루 이야기,과실주,,12,2,3,2,1,1,
복분자주 360ml,과실주,,16,3,1,2,3,2,
부안 참뽕 와인,과실주,,13,2,3,2,2,1,
추사 애플와인,과실주,,12,2,3,3,1,2,
컨츄리캠벨 (스위트),과실주,,12,2,3,3,1,2,
허니문 와인,과실주,,10,2,4,2,2,2,
혼디주,과실주,,12,2,4,2,3,3,