login_id,name,alc_type,rating
dongkieric98,소나무와 학,증류주,-1
dongkieric98,별빛청하,과실주,5
dongkieric98,안동소주 일품 40도 골드,증류주,-1
dongkieric98,모월 로,증류주,2
dongkieric98,맑은내일 단감명작,과실주,4
dongkieric98,그랑꼬또 청수,과실주,4
dongkieric98,구기홍주 360ml,약주,5
dongkieric98,느린마을 막걸리,탁주,3
dongkieric98,느린마을 막걸리,탁주,3
dongkieric98,우도 땅콩 전통주,탁주,5
dongkieric98,표문 생 막걸리,탁주,3
dongkieric98,느린마을 막걸리,탁주,4
dongkieric98,청산녹수 사미인주,탁주,5
dongkieric98,나루 생 막걸리 6도,탁주,4
dongkieric98,복순도가 손 막걸리,탁주,2
dongkieric98,해창 생 막걸리 9도,탁주,1
dongkieric98,백련 생 막걸리 Snow,탁주,5
dongkieric98,나루 생 막걸리 6도,탁주,4
dongkieric98,담은 생 막걸리,탁주,3
dongkieric98,담향 대대포 블루,탁주,3
dongkieric98,배꽃담은 연 생막걸리,탁주,4
dongkieric98,고도리 복숭아와인,과실주,5
dongkieric98,고도리 샤인머스캣,과실주,5
dongkieric98,그랑꼬또 청수,과실주,5
dongkieric98,고도리 복숭아와인,과실주,5
dongkieric98,고도리 샤인머스캣,과실주,3
dongkieric98,시나브로 로제와인,과실주,5
dongkieric98,명인 안동소주 22도,증류주,2
dongkieric98,명인 안동소주 22도,증류주,1
dongkieric98,느린마을 막걸리,탁주,-1
dongkieric98,시나브로 화이트와인,과실주,4
dongkieric98,배꽃담은 연 생막걸리,탁주,3